class_name,dataset_total,reviewed,ok,trash,other_class,complete
Апельсин,872,872,844,4,24,True
Бананы,804,804,796,4,4,True
Груши,410,410,404,4,2,True
Кабачки,298,298,294,1,3,True
Капуста,836,836,831,5,0,True
Картофель,789,789,779,2,8,True
Киви,188,188,187,1,0,True
Лимон,683,683,674,6,3,True
Лук,665,665,641,4,20,True
Мандарины,788,788,762,5,21,True
Морковь,623,623,602,0,21,True
Огурцы,595,595,589,2,4,True
Томаты,764,764,753,7,4,True
Яблоки зелёные,849,849,833,1,15,True
Яблоки красные,725,725,707,8,10,True
